person,user_name,user_screen_name,created_at,full_text,full_text_norm,entities_user_mentions,entities_hashtags,favorite_count,retweet_count,reply_count
Jokowi,Joko Widodo,jokowi,2019-10-19T03:03:00Z,"Lima tahun begitu singkat untuk menghela negeri besar ini mengejar ketertinggalan, beranjak menuju bangsa yang maju, dan mengurangi ketimpangan antardaerah. Inilah sejumlah pencapaian pembangunan lima tahun pemerintahan Jokowi-JK di bidang politik, ekonomi, dan sosial budaya.",singkat menghela negeri mengejar ketertinggalan beranjak bangsa maju mengurangi ketimpangan antardaerah pencapaian pembangunan pemerintah jokowi jk bidang politik ekonomi sosial budaya,NA,NA,22488,4212,1315
Jokowi,Joko Widodo,jokowi,2019-10-18T08:20:00Z,"Foto bersama di undakan tangga istana pada hari kerja terakhir pemerintahan periode 2014-2019. Terima kasih Bapak Jusuf Kalla, juga segenap menteri kabinet yang telah bekerja bersama saya selama lima tahun terakhir.",foto undakan tangga istana kerja pemerintah periode jusuf kalla segenap menteri kabinet,NA,NA,30751,5624,1332
Jokowi,Joko Widodo,jokowi,2019-10-18T01:08:00Z,"Lima tahun periode ini berjalan adalah lima tahun derap pembangunan infrastruktur di semua bidang: jalan, jalan tol, jembatan, pelabuhan, bendungan, bandara, sampai pos lintas batas negara. Dengan itulah, kita percaya diri untuk melangkah menyambut lima tahun berikutnya.",periode berjalan derap pembangunan infrastruktur bidang jalan jalan tol jembatan pelabuhan bendungan bandara pos lintas batas negara percaya melangkah menyambut,NA,NA,17925,3200,1167
Jokowi,Joko Widodo,jokowi,2019-10-17T01:51:00Z,"Saya membaca beberapa versi “bocoran” menteri kabinet periode 2019-2024 dengan antusias, kalau-kalau itu benar adalah bocoran Yang jelas, susunan kabinet sudah rampung. Saya umumkan segera setelah pelantikan Presiden pada 20 Oktober, bisa hari yang sama, atau setelahnya.",baca versi bocoran menteri kabinet periode antusias bocoran susunan kabinet rampung umumkan pelantikan presiden twenty oktober setelahnya,NA,NA,16971,2849,1650
Jokowi,Joko Widodo,jokowi,2019-10-16T09:10:00Z,"Saat bertemu pimpinan MPR periode 2019-2024 pagi ini, kami sempat menyinggung soal amendemen UUD 1945. Yang penting adalah melakukan kajian mendalam, menampung usulan semua tokoh, akademisi, dan masyarakat sebelun dirumuskan. Jadi, berikan kesempatan kepada MPR untuk bekerja",bertemu pimpinan mpr periode pagi menyinggung amendemen uud onethousandninehundredforty- kajian mendalam menampung usul tokoh akademisi masyarakat sebelun dirumuskan kesempatan mpr,NA,NA,5426,503,200
Jokowi,Joko Widodo,jokowi,2019-10-16T06:52:00Z,"Menerima pimpinan MPR yang menyampaikan undangan pelantikan presiden dan wakil presiden terpilih 20 Oktober mendatang. Kepada pimpinan MPR saya berharap agar penyelenggaraan upacara dan perayaan di acara itu dilakukan sederhana, tanpa mengurangi kekhidmatan dan keagungan acara.",menerima pimpinan mpr undangan pelantikan presiden wakil presiden terpilih twenty oktober pimpinan mpr berharap penyelenggaraan upacara perayaan acara sederhana mengurangi kekhidmatan keagungan acara,NA,NA,7851,745,302
Jokowi,Joko Widodo,jokowi,2019-10-15T03:04:00Z,"Menerima Pak Zulkifli Hasan, Ketua MPR periode 2014-2019, di istana, kemarin. Kami berdiskusi mengenai tantangan Indonesia ke depan. Mengingat beliau adalah mantan Ketua MPR, saya bertanya soal kajian MPR periode lalu atas amendemen terbatas UUD 1945 dan rencana ke depannya.",menerima zulkifli hasan ketua mpr periode istana kemarin berdiskusi tantangan indonesia beliau mantan ketua mpr kajian mpr periode amendemen terbatas uud onethousandninehundredforty- rencana depannya,NA,NA,5655,483,274
Jokowi,Joko Widodo,jokowi,2019-10-14T10:19:00Z,"Palapa Ring, jaringan kabel optik yang menghubungkan seluruh wilayah Indonesia yang saya resmikan tadi, ibarat jalan tol untuk internet kecepatan tinggi. Sebanyak 514 kabupaten/kota di Indonesia, seluruhnya sudah terhubung dengan jalan tol itu.",palapa ring jaringan kabel optik menghubungkan wilayah indonesia resmikan jalan tol internet kecepatan fivehundredfourteen kabupaten kota indonesia terhubung jalan tol,NA,NA,11348,1664,663
Jokowi,Joko Widodo,jokowi,2019-10-11T12:38:00Z,"Bertemu sahabat, Bapak @Prabowo, sore ini di istana. Kami berdiskusi tentang ekonomi negara kita, juga soal pemindahan ibu kota baru ke Kalimantan Timur. Bagaimana dengan isu soal koalisi? Tentu ada juga pembicaraan soal itu, tapi belum final.",bertemu sahabat sore istana berdiskusi ekonomi negara pemindahan kota kalimantan timur isu koalisi pembicaraan final,Prabowo,NA,16742,2670,957
Jokowi,Joko Widodo,jokowi,2019-10-11T10:40:00Z,"Sudah lama saya janjian untuk bertemu dengan Pak @SBYudhoyono, Presiden RI ke-6. Alhamdulillah, kemarin waktunya pas. Kami bertemu di Istana Merdeka. Kami membahas banyak hal, tentang situasi kebangsaan kita, tentang situasi ekonomi global, dll.",janjian bertemu presiden indonesia kemarin pas bertemu istana merdeka membahas situasi kebangsaan situasi ekonomi global,SBYudhoyono,NA,6653,769,167
