"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","Lima tahun begitu singkat untuk menghela negeri besar ini mengejar ketertinggalan, beranjak menuju bangsa yang maju, dan mengurangi ketimpangan antardaerah. Inilah sejumlah pencapaian pembangunan lima tahun pemerintahan Jokowi-JK di bidang politik, ekonomi, dan sosial budaya.","None","None","None","None","None","None","None","Lima tahun begitu singkat untuk menghela negeri besar ini mengejar ketertinggalan, beranjak menuju bangsa yang maju, dan mengurangi ketimpangan antardaerah. Inilah sejumlah pencapaian pembangunan lima tahun pemerintahan Jokowi-JK di bidang politik, ekonomi, dan sosial budaya.","","None","",22488,"None","None","None","2019-10-19 03:03","None","None","None","None","None",1315,"","1185390993660530689","","positive",4212,"Joko Widodo","jokowi"
"None","None","Foto bersama di undakan tangga istana pada hari kerja terakhir pemerintahan periode 2014-2019. Terima kasih Bapak Jusuf Kalla, juga segenap menteri kabinet yang telah bekerja bersama saya selama lima tahun terakhir.","None","None","None","None","None","None","None","Foto bersama di undakan tangga istana pada hari kerja terakhir pemerintahan periode 2014-2019. Terima kasih Bapak Jusuf Kalla, juga segenap menteri kabinet yang telah bekerja bersama saya selama lima tahun terakhir.","","None","",30751,"None","None","None","2019-10-18 08:20","None","None","None","None","None",1332,"","1185108300649484288","","neutral",5624,"Joko Widodo","jokowi"
"None","None","Lima tahun periode ini berjalan adalah lima tahun derap pembangunan infrastruktur di semua bidang: jalan, jalan tol, jembatan, pelabuhan, bendungan, bandara, sampai pos lintas batas negara. Dengan itulah, kita percaya diri untuk melangkah menyambut lima tahun berikutnya.","None","None","None","None","None","None","None","Lima tahun periode ini berjalan adalah lima tahun derap pembangunan infrastruktur di semua bidang: jalan, jalan tol, jembatan, pelabuhan, bendungan, bandara, sampai pos lintas batas negara. Dengan itulah, kita percaya diri untuk melangkah menyambut lima tahun berikutnya.","","None","",17925,"None","None","None","2019-10-18 01:08","None","None","None","None","None",1167,"","1184999643282735104","","positive",3200,"Joko Widodo","jokowi"
"None","None","Saya membaca beberapa versi “bocoran” menteri kabinet periode 2019-2024 dengan antusias, kalau-kalau itu benar adalah bocoran Yang jelas, susunan kabinet sudah rampung. Saya umumkan segera setelah pelantikan Presiden pada 20 Oktober, bisa hari yang sama, atau setelahnya.","None","None","None","None","None","None","None","Saya membaca beberapa versi “bocoran” menteri kabinet periode 2019-2024 dengan antusias, kalau-kalau itu benar adalah bocoran Yang jelas, susunan kabinet sudah rampung. Saya umumkan segera setelah pelantikan Presiden pada 20 Oktober, bisa hari yang sama, atau setelahnya.","","None","",16971,"None","None","None","2019-10-17 01:51","None","None","None","None","None",1650,"","1184648018718416896","","positive",2849,"Joko Widodo","jokowi"
"None","None","Saat bertemu pimpinan MPR periode 2019-2024 pagi ini, kami sempat menyinggung soal amendemen UUD 1945. Yang penting adalah melakukan kajian mendalam, menampung usulan semua tokoh, akademisi, dan masyarakat sebelun dirumuskan. Jadi, berikan kesempatan kepada MPR untuk bekerja","None","None","None","None","None","None","None","Saat bertemu pimpinan MPR periode 2019-2024 pagi ini, kami sempat menyinggung soal amendemen UUD 1945. Yang penting adalah melakukan kajian mendalam, menampung usulan semua tokoh, akademisi, dan masyarakat sebelun dirumuskan. Jadi, berikan kesempatan kepada MPR untuk bekerja","","None","",5426,"None","None","None","2019-10-16 09:10","None","None","None","None","None",200,"","1184396084224786432","","positive",503,"Joko Widodo","jokowi"
"None","None","Menerima pimpinan MPR yang menyampaikan undangan pelantikan presiden dan wakil presiden terpilih 20 Oktober mendatang. Kepada pimpinan MPR saya berharap agar penyelenggaraan upacara dan perayaan di acara itu dilakukan sederhana, tanpa mengurangi kekhidmatan dan keagungan acara.","None","None","None","None","None","None","None","Menerima pimpinan MPR yang menyampaikan undangan pelantikan presiden dan wakil presiden terpilih 20 Oktober mendatang. Kepada pimpinan MPR saya berharap agar penyelenggaraan upacara dan perayaan di acara itu dilakukan sederhana, tanpa mengurangi kekhidmatan dan keagungan acara.","","None","",7851,"None","None","None","2019-10-16 06:52","None","None","None","None","None",302,"","1184361545142157312","","positive",745,"Joko Widodo","jokowi"
"None","None","Menerima Pak Zulkifli Hasan, Ketua MPR periode 2014-2019, di istana, kemarin. Kami berdiskusi mengenai tantangan Indonesia ke depan. Mengingat beliau adalah mantan Ketua MPR, saya bertanya soal kajian MPR periode lalu atas amendemen terbatas UUD 1945 dan rencana ke depannya.","None","None","None","None","None","None","None","Menerima Pak Zulkifli Hasan, Ketua MPR periode 2014-2019, di istana, kemarin. Kami berdiskusi mengenai tantangan Indonesia ke depan. Mengingat beliau adalah mantan Ketua MPR, saya bertanya soal kajian MPR periode lalu atas amendemen terbatas UUD 1945 dan rencana ke depannya.","","None","",5655,"None","None","None","2019-10-15 03:04","None","None","None","None","None",274,"","1183941789922648064","","positive",483,"Joko Widodo","jokowi"
"None","None","Palapa Ring, jaringan kabel optik yang menghubungkan seluruh wilayah Indonesia yang saya resmikan tadi, ibarat jalan tol untuk internet kecepatan tinggi. Sebanyak 514 kabupaten/kota di Indonesia, seluruhnya sudah terhubung dengan jalan tol itu.","None","None","None","None","None","None","None","Palapa Ring, jaringan kabel optik yang menghubungkan seluruh wilayah Indonesia yang saya resmikan tadi, ibarat jalan tol untuk internet kecepatan tinggi. Sebanyak 514 kabupaten/kota di Indonesia, seluruhnya sudah terhubung dengan jalan tol itu.","","None","",11348,"None","None","None","2019-10-14 10:19","None","None","None","None","None",663,"","1183688855460859904","","positive",1664,"Joko Widodo","jokowi"
"None","None","Bertemu sahabat, Bapak @Prabowo, sore ini di istana. Kami berdiskusi tentang ekonomi negara kita, juga soal pemindahan ibu kota baru ke Kalimantan Timur. Bagaimana dengan isu soal koalisi? Tentu ada juga pembicaraan soal itu, tapi belum final.","None","None","None","None","None","None","None","Bertemu sahabat, Bapak @Prabowo, sore ini di istana. Kami berdiskusi tentang ekonomi negara kita, juga soal pemindahan ibu kota baru ke Kalimantan Timur. Bagaimana dengan isu soal koalisi? Tentu ada juga pembicaraan soal itu, tapi belum final.","Prabowo","None","",16742,"None","None","None","2019-10-11 12:38","None","None","None","None","None",957,"","1182636496492232704","","neutral",2670,"Joko Widodo","jokowi"
"None","None","Sudah lama saya janjian untuk bertemu dengan Pak @SBYudhoyono, Presiden RI ke-6. Alhamdulillah, kemarin waktunya pas. Kami bertemu di Istana Merdeka. Kami membahas banyak hal, tentang situasi kebangsaan kita, tentang situasi ekonomi global, dll.","None","None","None","None","None","None","None","Sudah lama saya janjian untuk bertemu dengan Pak @SBYudhoyono, Presiden RI ke-6. Alhamdulillah, kemarin waktunya pas. Kami bertemu di Istana Merdeka. Kami membahas banyak hal, tentang situasi kebangsaan kita, tentang situasi ekonomi global, dll.","SBYudhoyono","None","",6653,"None","None","None","2019-10-11 10:40","None","None","None","None","None",167,"","1182606944646787072","","negative",769,"Joko Widodo","jokowi"
