"user_statuses_count","user_followers_count","full_text","user_url","user_location","user_description","user_profile_image_url_https","is_quote_status","quote_count","user_friends_count","full_text_norm","entities_user_mentions","entities_urls","in_reply_to_user_id_str","favorite_count","lang","user_created_at","user_listed_count","created_at","user_id_str","user_favourites_count","user_verified","source","in_reply_to_status_id_str","reply_count","in_reply_to_screen_name","id_str","entities_hashtags","text_sentiment","retweet_count","user_name","user_screen_name"
"None","None","Seperti pepatah tiongkok, seribu kawan terlalu sedikit, satu musuh terlalu banyak. Saya berharap komunikasi kita akan terus terjalin melalui media sosial ini. Masukan dari para sahabat ataupun kritikan dari para sahabat selalu menjadi hal yang saya tunggu untuk dibaca.","None","None","None","None","None","None","None","Seperti pepatah tiongkok, seribu kawan terlalu sedikit, satu musuh terlalu banyak. Saya berharap komunikasi kita akan terus terjalin melalui media sosial ini. Masukan dari para sahabat ataupun kritikan dari para sahabat selalu menjadi hal yang saya tunggu untuk dibaca.","","None","",10920,"None","None","None","2019-10-18 14:04","None","None","None","None","None",1686,"","1185195036482228229","","negative",1622,"Prabowo Subianto","prabowo"
"None","None","Terima kasih setinggi-tingginya atas perhatian dan doa para sahabat di hari kelahiran saya. Saya turut mendoakan kepada para sahabat atau keluarga sahabat yang berulang tahun sama dengan saya. Semoga Allah SWT memberikan rahmat dan hidayahNya kepada kita semua. Aamiin.","None","None","None","None","None","None","None","Terima kasih setinggi-tingginya atas perhatian dan doa para sahabat di hari kelahiran saya. Saya turut mendoakan kepada para sahabat atau keluarga sahabat yang berulang tahun sama dengan saya. Semoga Allah SWT memberikan rahmat dan hidayahNya kepada kita semua. Aamiin.","","None","",18832,"None","None","None","2019-10-18 14:02","None","None","None","None","None",1537,"","1185194534214369281","","positive",2379,"Prabowo Subianto","prabowo"
"None","None","Inna lillahi wa inna ilaihi rajiun. Saya atas nama pribadi dan keluarga besar partai @Gerindra mengucapkan turut berduka cita atas wafatnya Presiden Republik Indonesia ke 3 Bapak Bacharuddin Jusuf Habibie. Semoga ditempatkan di sisi Allah SWT. Aamiin YRA.","None","None","None","None","None","None","None","Inna lillahi wa inna ilaihi rajiun. Saya atas nama pribadi dan keluarga besar partai @Gerindra mengucapkan turut berduka cita atas wafatnya Presiden Republik Indonesia ke 3 Bapak Bacharuddin Jusuf Habibie. Semoga ditempatkan di sisi Allah SWT. Aamiin YRA.","Gerindra","None","",17167,"None","None","None","2019-09-11 11:44","None","None","None","None","None",690,"","1171751385773174785","","negative",3478,"Prabowo Subianto","prabowo"
"None","None","Luar biasa pak polisi ini. Mengayomi rakyat dengan sabar. Semoga sehat terus dan lancar dalam menjalankan tugas mendidik rakyat.","None","None","None","None","None","None","None","Luar biasa pak polisi ini. Mengayomi rakyat dengan sabar. Semoga sehat terus dan lancar dalam menjalankan tugas mendidik rakyat.","","None","",6939,"None","None","None","2019-08-31 16:50","None","None","None","None","None",469,"","1167842069752115203","","positive",1218,"Prabowo Subianto","prabowo"
"None","None","Selamat tahun baru 1441 H, semoga kita mampu meneladani perjuangan baginda Rasulullah SAW memperkenalkan Islam yang rahmatan lil alamin, agar kita sebagai bangsa yang memiliki beragam agama dan kepercayaan dapat hidup aman damai dan bersatu dalam bingkai kemanusiaan. Aamiin.","None","None","None","None","None","None","None","Selamat tahun baru 1441 H, semoga kita mampu meneladani perjuangan baginda Rasulullah SAW memperkenalkan Islam yang rahmatan lil alamin, agar kita sebagai bangsa yang memiliki beragam agama dan kepercayaan dapat hidup aman damai dan bersatu dalam bingkai kemanusiaan. Aamiin.","","None","",12035,"None","None","None","2019-08-31 14:25","None","None","None","None","None",727,"","1167805714753998848","","positive",2139,"Prabowo Subianto","prabowo"
"None","None","Saya dan keluarga besar Partai @Gerindra turut berduka cita sedalam-dalamnya atas meninggalnya ibu Siti Habibah, ibunda Presiden RI ke-6 @SBYudhoyono. Semoga mendapat tempat terbaik di sisi Allah SWT. Aamiin.","None","None","None","None","None","None","None","Saya dan keluarga besar Partai @Gerindra turut berduka cita sedalam-dalamnya atas meninggalnya ibu Siti Habibah, ibunda Presiden RI ke-6 @SBYudhoyono. Semoga mendapat tempat terbaik di sisi Allah SWT. Aamiin.","Gerindra SBYudhoyono","None","",5541,"None","None","None","2019-08-31 03:18","None","None","None","None","None",184,"","1167637681863442432","","neutral",630,"Prabowo Subianto","prabowo"
"None","None","Berbahagia merayakan kemerdekaan Republik Indonesia ke-74 bersama warga Kampung Ciriun dan Kampung Cimpaeun. Terima Kasih!","None","None","None","None","None","None","None","Berbahagia merayakan kemerdekaan Republik Indonesia ke-74 bersama warga Kampung Ciriun dan Kampung Cimpaeun. Terima Kasih!","","None","",8125,"None","None","None","2019-08-17 10:58","None","None","None","None","None",223,"","1162680031451029508","","positive",862,"Prabowo Subianto","prabowo"
"None","None","Dirgahayu Republik Indonesia ke-74. Insya Allah, selama hayat dikandung badan akan selalu berjuang dengan semangat mewujudkan cita-cita kemerdekan, membela keadilan, membela kebenaran dan membela kepentingan rakyat dan bangsa. MERDEKA!","None","None","None","None","None","None","None","Dirgahayu Republik Indonesia ke-74. Insya Allah, selama hayat dikandung badan akan selalu berjuang dengan semangat mewujudkan cita-cita kemerdekan, membela keadilan, membela kebenaran dan membela kepentingan rakyat dan bangsa. MERDEKA!","","None","",8079,"None","None","None","2019-08-17 05:57","None","None","None","None","None",286,"","1162604466480136192","","positive",1177,"Prabowo Subianto","prabowo"
"None","None","Selamat ulang tahun, semoga selalu sehat dan disukseskan apa yang direncanakan.","None","None","None","None","None","None","None","Selamat ulang tahun, semoga selalu sehat dan disukseskan apa yang direncanakan.","","None","1092736027268079617",36,"None","None","None","2019-08-14 13:59","None","None","None","None","None",1,"sri06239248","1161638577588953088","","positive",1,"Prabowo Subianto","prabowo"
"None","None","Selamat hari Gerakan Pramuka ke-58, terus bergerak dan senantiasa melahirkan tunas-tunas muda yang kuat dan bermartabat, yang pantang putus asa tapi juga riang gembira, yang mampu membantu mewujudkan cita-cita para pendiri bangsa menjadi bangsa merdeka dan berdikari.","None","None","None","None","None","None","None","Selamat hari Gerakan Pramuka ke-58, terus bergerak dan senantiasa melahirkan tunas-tunas muda yang kuat dan bermartabat, yang pantang putus asa tapi juga riang gembira, yang mampu membantu mewujudkan cita-cita para pendiri bangsa menjadi bangsa merdeka dan berdikari.","","None","",4354,"None","None","None","2019-08-14 07:26","None","None","None","None","None",94,"","1161539684465594369","","positive",495,"Prabowo Subianto","prabowo"
